Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
159,4.0,604.0,63.0,0.04,4144.723395734941,3491.3973100856715,5.110945673365664,255.54728366828317,0.412,6.0,prosperity,0.01
160,5.0,608.0,63.0,0.05,4164.446350821284,3518.3653357430835,5.238701018412559,261.93505092062793,0.376,0.0,prosperity,0.01
161,5.0,616.0,64.0,0.05,4196.389201832363,3540.2161985032026,5.010450304690812,250.5225152345406,0.36400000000000005,0.0,prosperity,0.01
162,5.0,622.0,65.0,0.05,4211.050286252531,3553.0290100241823,4.685910844283225,234.29554221416132,0.344,0.0,prosperity,0.01
163,5.0,632.0,66.0,0.05,4267.456212124917,3568.089920340805,4.499177213363331,224.9588606681666,0.33199999999999996,0.0,prosperity,0.01
164,5.0,644.0,68.0,0.05,4292.879502638819,3583.7242896785933,4.060726001337619,203.03630006688095,0.344,0.0,prosperity,0.01
165,5.0,648.0,71.0,0.05,4306.735212417735,3595.32742206212,3.715247555013807,185.7623777506903,0.36400000000000005,0.0,prosperity,0.01
166,5.0,650.0,72.0,0.05,4313.851993151554,3608.8836541601777,3.5498024326919357,177.4901216345968,0.37200000000000005,0.0,prosperity,0.01
167,5.0,654.0,72.0,0.05,4329.804994322704,3623.07904954624,3.5393553665964204,176.96776832982104,0.37199999999999994,0.0,prosperity,0.01
168,5.0,658.0,73.0,0.05,4333.270143479985,3638.1646361412754,3.4859969085670017,174.2998454283501,0.384,0.0,prosperity,0.01
169,5.0,658.0,73.0,0.05,4333.270143479985,3657.941071073996,3.5548884351798455,177.74442175899227,0.38,0.0,prosperity,0.01
170,5.0,658.0,73.0,0.05,4333.270143479985,3678.52421366933,3.6296907545319113,181.4845377265955,0.37999999999999995,0.0,prosperity,0.01
171,5.0,666.0,73.0,0.05,4359.8978384690645,3704.9506052164243,3.7678457040992113,188.39228520496056,0.36,0.0,prosperity,0.01
172,5.0,670.0,74.0,0.05,4366.589788779315,3718.0100093265078,3.633942346148407,181.69711730742034,0.344,0.0,prosperity,0.01
173,5.0,670.0,74.0,0.05,4366.589788779315,3734.9955754676475,3.6611173353637794,183.05586676818896,0.3439999999999999,0.0,prosperity,0.01
174,5.0,676.0,76.0,0.05,4389.98156835962,3749.143908906334,3.4026350988154905,170.13175494077456,0.38400000000000006,0.0,prosperity,0.01
175,5.0,680.0,76.0,0.05,4399.970116321308,3758.674365772848,3.3507860287659423,167.5393014382971,0.38,0.0,prosperity,0.01
176,5.0,684.0,76.0,0.05,4409.1889945807425,3771.042544466588,3.334873465611998,166.7436732805999,0.36800000000000005,0.0,prosperity,0.01
177,5.0,688.0,76.0,0.05,4418.123319154026,3784.7763862680695,3.335925456546571,166.7962728273285,0.36,0.0,prosperity,0.01
178,5.0,692.0,76.0,0.05,4423.729361293944,3795.758601842934,3.305008473297846,165.2504236648923,0.3399999999999999,0.0,prosperity,0.01
179,5.0,700.0,77.0,0.05,4438.016518002728,3799.0638190414834,3.0999909602019273,154.99954801009636,0.3439999999999999,12.0,prosperity,0.01
180,6.0,706.0,77.0,0.060000000000000005,4452.529970294473,3813.08761679062,3.1180642028567407,155.90321014283705,0.32800000000000007,0.0,prosperity,0.01
181,6.0,712.0,78.0,0.060000000000000005,4466.972975288935,3822.145544076191,2.8147420303843798,140.73710151921898,0.316,0.0,prosperity,0.01
182,6.0,718.0,78.0,0.060000000000000005,4471.789703150415,3836.867516447839,2.8218233536129222,141.0911676806461,0.304,0.0,prosperity,0.01
183,6.0,736.0,79.0,0.060000000000000005,4511.4186690831075,3843.412670385623,2.4993011000965284,124.96505500482638,0.316,0.0,prosperity,0.01
184,6.0,740.0,80.0,0.060000000000000005,4514.877671102043,3853.2344523877114,2.4330240155215237,121.65120077607615,0.31199999999999994,0.0,prosperity,0.01
185,6.0,744.0,80.0,0.060000000000000005,4517.821600260154,3861.8798155994905,2.3915789167660026,119.57894583830014,0.3,0.0,prosperity,0.01
186,6.0,752.0,80.0,0.060000000000000005,4526.429196673854,3874.6076114983885,2.399126864984228,119.9563432492114,0.27599999999999997,0.0,prosperity,0.01
187,6.0,760.0,83.0,0.060000000000000005,4534.611588966955,3885.0510225058956,2.2697069748296697,113.48534874148348,0.31200000000000006,0.0,prosperity,0.01
